Mesin,Incident_err,Mesin_Percentages
97-3,0,0
97-4,0,0
97-5,0,0
97-6,0,0
97-7,0,0
97-8,0,0
97-9,0,100
97-10,0,0
97-18,2,98.8095238095
97-19,2,98.5815602837
97-20,2,99.2452830189
97-21,2,99.2882562278
98-1,2,99.2248062016
98-2,2,98.8950276243
98-3,3,96.511627907
98-4,0,0
98-5,0,0
98-6,0,0
98-7,2,98.5915492958
98-8,2,98.2456140351
98-9,2,99.2857142857
98-10,2,98.7341772152
98-11,2,99.2063492063
98-12,2,98.7261146497
98-13,0,0
98-14,0,0
98-15,2,98.7951807229
98-16,2,98.2608695652
98-17,0,0
98-18,0,0
98-19,2,99.1561181435
98-20,2,99.1071428571
98-21,2,98.4615384615
98-22,3,98.623853211
98-23,2,99.3055555556
98-24,2,99.1967871486
98-25,5,96.9879518072
98-26,2,99.1561181435
98-27,2,98.7341772152
98-28,2,98.9637305699
99-3,2,99.3548387097
99-4,2,99.1525423729
99-5,2,98.6013986014
99-6,2,98.4962406015
99-7,2,99.3548387097
99-8,2,99.2753623188
99-9,2,98.9795918367
99-10,2,99.3769470405
99-11,2,98.9949748744
99-12,2,98.9528795812
99-13,1,98.9010989011
99-14,1,98.9583333333
99-15,0,0
99-16,2,98.5294117647
99-17,2,98.6577181208
99-18,0,100
99-19,1,99.0740740741
99-20,2,98.347107438
99-21,0,0
99-22,2,99.0950226244
