no_ip,no_seq,week_no,no_incident,cntr,insert_date,reason_down
172.20.35.99,3,24,1738,1,2018-11-06 23:45:38.463,0
172.20.35.99,3,24,1738,2,2018-11-06 23:45:44.490,0
172.20.35.99,3,24,1738,6,2018-11-06 23:49:58.443,22
172.20.35.99,3,24,1737,1,2018-11-06 23:16:35.370,0
172.20.35.99,3,24,1737,2,2018-11-06 23:16:37.697,0
172.20.35.99,3,24,1737,3,2018-11-06 23:40:37.257,10
172.20.35.99,3,24,1737,4,2018-11-06 23:40:44.163,10
172.20.35.99,3,24,1737,6,2018-11-06 23:42:53.443,1
172.20.35.99,3,24,1736,1,2018-11-06 22:11:00.520,0
172.20.35.99,3,24,1736,2,2018-11-06 22:11:09.257,0
172.20.35.99,3,24,1736,6,2018-11-06 22:15:07.897,22
172.20.35.99,3,24,1735,1,2018-11-06 21:49:07.327,0
172.20.35.99,3,24,1735,2,2018-11-06 21:49:14.547,0
172.20.35.99,3,24,1735,3,2018-11-06 21:52:12.560,11
172.20.35.99,3,24,1735,4,2018-11-06 21:53:03.253,11
172.20.35.99,3,24,1735,6,2018-11-06 21:55:10.370,22
172.20.35.99,3,24,1734,1,2018-11-06 21:38:13.757,0
172.20.35.99,3,24,1734,2,2018-11-06 21:38:13.757,0
172.20.35.99,3,24,1734,6,2018-11-06 21:43:08.853,22
172.20.35.99,3,24,1733,1,2018-11-06 21:14:48.790,0
172.20.35.99,3,24,1733,2,2018-11-06 21:14:48.790,0
172.20.35.99,3,24,1733,3,2018-11-06 21:17:43.320,0
172.20.35.99,3,24,1733,4,2018-11-06 21:18:10.570,0
172.20.35.99,3,24,1733,6,2018-11-06 21:20:24.517,22
172.20.35.99,3,24,1732,1,2018-11-06 21:05:49.117,0
172.20.35.99,3,24,1732,2,2018-11-06 21:05:49.117,0
172.20.35.99,3,24,1732,6,2018-11-06 21:09:44.377,22
172.20.35.99,3,24,1731,1,2018-11-06 20:45:31.020,0
172.20.35.99,3,24,1731,2,2018-11-06 20:46:33.870,0
172.20.35.99,3,24,1731,3,2018-11-06 20:49:31.087,10
172.20.35.99,3,24,1731,4,2018-11-06 21:02:54.490,10
172.20.35.99,3,24,1731,6,2018-11-06 21:05:26.570,22
172.20.35.99,3,24,1730,1,2018-11-06 19:46:46.200,0
172.20.35.99,3,24,1730,2,2018-11-06 19:46:52.967,0
172.20.35.99,3,24,1730,6,2018-11-06 19:49:42.813,22
172.20.35.99,3,24,1729,1,2018-11-06 19:29:22.227,0
172.20.35.99,3,24,1729,2,2018-11-06 19:29:42.467,0
172.20.35.99,3,24,1729,3,2018-11-06 19:29:53.443,1
172.20.35.99,3,24,1729,4,2018-11-06 19:29:53.453,1
172.20.35.99,3,24,1729,5,2018-11-06 19:29:59.803,1
172.20.35.99,3,24,1729,6,2018-11-06 19:32:20.647,1
172.20.35.99,3,24,1728,1,2018-11-06 19:11:07.753,0
172.20.35.99,3,24,1728,4,2018-11-06 19:11:14.843,0
172.20.35.99,3,24,1728,6,2018-11-06 19:28:29.387,1
172.20.35.99,3,24,1727,1,2018-11-06 18:37:01.190,0
172.20.35.99,3,24,1727,4,2018-11-06 18:37:04.190,0
172.20.35.99,3,24,1727,6,2018-11-06 18:44:32.827,8
172.20.35.99,3,24,1726,1,2018-11-06 17:26:40.223,0
172.20.35.99,3,24,1726,2,2018-11-06 17:27:06.210,0
172.20.35.99,3,24,1726,3,2018-11-06 17:30:14.590,10
172.20.35.99,3,24,1726,4,2018-11-06 18:16:07.660,10
172.20.35.99,3,24,1726,6,2018-11-06 18:18:21.717,10
172.20.35.99,3,24,1725,1,2018-11-06 15:09:13.473,0
172.20.35.99,3,24,1725,4,2018-11-06 15:09:21.000,0
172.20.35.99,3,24,1725,6,2018-11-06 15:18:45.827,14
172.20.35.99,3,24,1724,1,2018-11-06 14:28:18.880,0
172.20.35.99,3,24,1724,4,2018-11-06 14:28:30.473,0
172.20.35.99,3,24,1724,6,2018-11-06 14:56:18.193,14
172.20.35.99,3,24,1723,1,2018-11-06 13:12:57.787,0
172.20.35.99,3,24,1723,4,2018-11-06 13:29:33.433,0
172.20.35.99,3,24,1723,6,2018-11-06 13:31:39.777,10
172.20.35.99,3,24,1722,1,2018-11-06 13:02:49.003,0
172.20.35.99,3,24,1722,4,2018-11-06 13:05:38.767,0
172.20.35.99,3,24,1722,5,2018-11-06 13:05:38.767,11
172.20.35.99,3,24,1722,6,2018-11-06 13:07:46.517,11
172.20.35.99,3,24,1721,1,2018-11-06 11:57:21.737,0
172.20.35.99,3,24,1721,4,2018-11-06 11:58:37.773,0
172.20.35.99,3,24,1721,6,2018-11-06 12:00:41.697,11
172.20.35.99,3,24,1720,1,2018-11-06 11:53:34.610,0
172.20.35.99,3,24,1720,4,2018-11-06 11:53:49.207,0
172.20.35.99,3,24,1720,6,2018-11-06 11:55:54.330,11
172.20.35.99,3,24,1719,1,2018-11-06 11:35:09.850,0
172.20.35.99,3,24,1719,4,2018-11-06 11:35:32.320,0
172.20.35.99,3,24,1719,5,2018-11-06 11:35:40.670,11
